scenario,flowId,txPackets,rxPackets,lostPackets,delaySum,jitterSum,throughput,zone_label
Urban,275,0,0,0,0.0,0.0,0.0,1
Urban,276,0,0,0,0.0,0.0,0.0,1
Urban,277,0,0,0,0.0,0.0,0.0,1
Urban,278,0,0,0,0.0,0.0,0.0,1
Urban,279,0,0,0,0.0,0.0,0.0,1
Urban,280,0,0,0,0.0,0.0,0.0,1
Urban,281,0,0,0,0.0,0.0,0.0,1
Urban,282,0,0,0,0.0,0.0,0.0,1
Urban,283,0,0,0,0.0,0.0,0.0,1
Urban,284,0,0,0,0.0,0.0,0.0,1
Urban,285,0,0,0,0.0,0.0,0.0,1
Urban,286,0,0,0,0.0,0.0,0.0,1
Urban,287,0,0,0,0.0,0.0,0.0,1
Urban,288,0,0,0,0.0,0.0,0.0,1
Urban,289,0,0,0,0.0,0.0,0.0,1
Urban,290,0,0,0,0.0,0.0,0.0,1
Urban,291,0,0,0,0.0,0.0,0.0,1
Urban,292,0,0,0,0.0,0.0,0.0,1
Urban,293,0,0,0,0.0,0.0,0.0,1
Urban,294,0,0,0,0.0,0.0,0.0,1
Urban,295,0,0,0,0.0,0.0,0.0,1
Urban,296,0,0,0,0.0,0.0,0.0,1
Urban,297,0,0,0,0.0,0.0,0.0,1
Urban,298,0,0,0,0.0,0.0,0.0,1
Urban,299,0,0,0,0.0,0.0,0.0,1
Urban,300,0,0,0,0.0,0.0,0.0,1
Urban,301,0,0,0,0.0,0.0,0.0,1
Urban,302,0,0,0,0.0,0.0,0.0,1
Urban,303,0,0,0,0.0,0.0,0.0,1
Urban,304,0,0,0,0.0,0.0,0.0,1
Urban,305,0,0,0,0.0,0.0,0.0,1
Urban,306,0,0,0,0.0,0.0,0.0,1
Urban,307,0,0,0,0.0,0.0,0.0,1
Urban,308,0,0,0,0.0,0.0,0.0,1
Urban,309,0,0,0,0.0,0.0,0.0,1
Urban,310,0,0,0,0.0,0.0,0.0,1
Urban,311,0,0,0,0.0,0.0,0.0,1
Urban,312,0,0,0,0.0,0.0,0.0,1
Urban,313,0,0,0,0.0,0.0,0.0,1
Urban,314,0,0,0,0.0,0.0,0.0,1
Urban,315,0,0,0,0.0,0.0,0.0,1
Urban,316,0,0,0,0.0,0.0,0.0,1
Urban,317,0,0,0,0.0,0.0,0.0,1
Urban,318,0,0,0,0.0,0.0,0.0,1
Urban,319,0,0,0,0.0,0.0,0.0,1
Urban,320,0,0,0,0.0,0.0,0.0,1
Urban,321,0,0,0,0.0,0.0,0.0,1
Urban,322,0,0,0,0.0,0.0,0.0,1
Urban,323,0,0,0,0.0,0.0,0.0,1
Urban,324,0,0,0,0.0,0.0,0.0,1
Urban,325,0,0,0,0.0,0.0,0.0,1
Urban,326,0,0,0,0.0,0.0,0.0,1
Urban,327,0,0,0,0.0,0.0,0.0,1
Urban,328,0,0,0,0.0,0.0,0.0,1
Urban,329,0,0,0,0.0,0.0,0.0,1
Urban,330,0,0,0,0.0,0.0,0.0,1
Urban,331,0,0,0,0.0,0.0,0.0,1
Urban,332,0,0,0,0.0,0.0,0.0,1
Urban,333,0,0,0,0.0,0.0,0.0,1
Urban,334,0,0,0,0.0,0.0,0.0,1
Urban,335,0,0,0,0.0,0.0,0.0,1
Urban,336,0,0,0,0.0,0.0,0.0,1
Urban,337,0,0,0,0.0,0.0,0.0,1
Urban,338,0,0,0,0.0,0.0,0.0,1
Urban,339,0,0,0,0.0,0.0,0.0,1
Urban,340,0,0,0,0.0,0.0,0.0,1
Urban,341,0,0,0,0.0,0.0,0.0,1
